lakeid,metric,sampledate,year,daynum
FI,secchi_min,2006-07-27,2006,208
FI,secchi_min,2007-08-22,2007,234
FI,secchi_min,2008-08-07,2008,220
FI,secchi_min,2009-08-06,2009,218
FI,secchi_min,2010-08-06,2010,218
FI,secchi_min,2011-06-30,2011,181
FI,secchi_min,2012-07-27,2012,209
FI,secchi_min,2013-08-20,2013,232
FI,secchi_min,2014-08-07,2014,219
FI,secchi_min,2015-08-31,2015,243
FI,secchi_min,2016-09-01,2016,245
FI,secchi_min,2017-07-13,2017,194
FI,secchi_min,2018-06-27,2018,178
FI,secchi_min,2019-08-20,2019,232
ME,secchi_min,1995-08-14,1995,226
ME,secchi_min,1996-08-05,1996,218
ME,secchi_min,1997-10-01,1997,274
ME,secchi_min,1998-04-24,1998,114
ME,secchi_min,1999-07-06,1999,187
ME,secchi_min,2000-08-28,2000,241
ME,secchi_min,2001-09-26,2001,269
ME,secchi_min,2002-08-12,2002,224
ME,secchi_min,2003-08-18,2003,230
ME,secchi_min,2004-08-16,2004,229
ME,secchi_min,2005-07-18,2005,199
ME,secchi_min,2006-08-07,2006,219
ME,secchi_min,2007-10-01,2007,274
ME,secchi_min,2008-07-07,2008,189
ME,secchi_min,2009-07-20,2009,201
ME,secchi_min,2010-03-29,2010,88
ME,secchi_min,2011-08-22,2011,234
ME,secchi_min,2012-07-23,2012,205
ME,secchi_min,2013-08-21,2013,233
ME,secchi_min,2014-07-21,2014,202
ME,secchi_min,2015-05-13,2015,133
ME,secchi_min,2016-03-28,2016,88
ME,secchi_min,2017-04-17,2017,107
ME,secchi_min,2018-05-07,2018,127
ME,secchi_min,2019-04-15,2019,105
MO,secchi_min,1995-09-25,1995,268
MO,secchi_min,1996-08-05,1996,218
MO,secchi_min,1997-09-30,1997,273
MO,secchi_min,1998-07-06,1998,187
MO,secchi_min,1999-07-19,1999,200
MO,secchi_min,2000-08-28,2000,241
MO,secchi_min,2001-07-17,2001,198
MO,secchi_min,2002-07-26,2002,207
MO,secchi_min,2003-04-01,2003,91
MO,secchi_min,2004-10-06,2004,280
MO,secchi_min,2005-08-03,2005,215
MO,secchi_min,2006-10-30,2006,303
MO,secchi_min,2007-10-04,2007,277
MO,secchi_min,2008-08-18,2008,231
MO,secchi_min,2009-09-04,2009,247
MO,secchi_min,2010-07-20,2010,201
MO,secchi_min,2011-10-04,2011,277
MO,secchi_min,2012-05-16,2012,137
MO,secchi_min,2013-07-22,2013,203
MO,secchi_min,2014-07-21,2014,202
MO,secchi_min,2015-07-22,2015,203
MO,secchi_min,2016-03-29,2016,89
MO,secchi_min,2017-07-25,2017,206
MO,secchi_min,2018-07-24,2018,205
MO,secchi_min,2019-08-06,2019,218
SP,secchi_min,1982-05-12,1982,132
SP,secchi_min,1983-11-15,1983,319
SP,secchi_min,1984-06-04,1984,156
SP,secchi_min,1985-05-15,1985,135
SP,secchi_min,1986-05-07,1986,127
SP,secchi_min,1987-11-02,1987,306
SP,secchi_min,1988-04-25,1988,116
SP,secchi_min,1989-11-14,1989,318
SP,secchi_min,1990-11-12,1990,316
SP,secchi_min,1991-11-11,1991,315
SP,secchi_min,1992-11-09,1992,314
SP,secchi_min,1993-05-18,1993,138
SP,secchi_min,1994-05-05,1994,125
SP,secchi_min,1995-05-02,1995,122
SP,secchi_min,1996-11-06,1996,311
SP,secchi_min,1997-11-10,1997,314
SP,secchi_min,1998-11-12,1998,316
SP,secchi_min,1999-05-04,1999,124
SP,secchi_min,2000-07-12,2000,194
SP,secchi_min,2001-04-30,2001,120
SP,secchi_min,2002-11-07,2002,311
SP,secchi_min,2003-05-14,2003,134
SP,secchi_min,2004-04-30,2004,121
SP,secchi_min,2005-05-02,2005,122
SP,secchi_min,2006-04-20,2006,110
SP,secchi_min,2007-11-12,2007,316
SP,secchi_min,2008-05-13,2008,134
SP,secchi_min,2009-05-13,2009,133
SP,secchi_min,2010-05-24,2010,144
SP,secchi_min,2011-05-16,2011,136
SP,secchi_min,2012-10-31,2012,305
SP,secchi_min,2013-11-13,2013,317
SP,secchi_min,2014-05-19,2014,139
SP,secchi_min,2015-04-23,2015,113
SP,secchi_min,2016-04-26,2016,117
SP,secchi_min,2017-11-13,2017,317
SP,secchi_min,2018-11-12,2018,316
SP,secchi_min,2019-11-15,2019,319
TB,secchi_min,1982-06-07,1982,158
TB,secchi_min,1983-06-09,1983,160
TB,secchi_min,1984-05-22,1984,143
TB,secchi_min,1985-04-29,1985,119
TB,secchi_min,1986-05-06,1986,126
TB,secchi_min,1987-04-13,1987,103
TB,secchi_min,1988-04-21,1988,112
TB,secchi_min,1989-05-03,1989,123
TB,secchi_min,1990-10-29,1990,302
TB,secchi_min,1991-05-23,1991,143
TB,secchi_min,1992-05-04,1992,125
TB,secchi_min,1993-06-14,1993,165
TB,secchi_min,1994-10-18,1994,291
TB,secchi_min,1995-11-09,1995,313
TB,secchi_min,1996-05-31,1996,152
TB,secchi_min,1997-10-08,1997,281
TB,secchi_min,1998-04-21,1998,111
TB,secchi_min,1999-09-10,1999,253
TB,secchi_min,2000-10-04,2000,278
TB,secchi_min,2001-05-30,2001,150
TB,secchi_min,2002-09-24,2002,267
TB,secchi_min,2003-05-12,2003,132
TB,secchi_min,2004-06-21,2004,173
TB,secchi_min,2005-04-18,2005,108
TB,secchi_min,2006-07-24,2006,205
TB,secchi_min,2007-10-09,2007,282
TB,secchi_min,2008-05-21,2008,142
TB,secchi_min,2009-05-29,2009,149
TB,secchi_min,2010-04-13,2010,103
TB,secchi_min,2011-06-01,2011,152
TB,secchi_min,2012-04-02,2012,93
TB,secchi_min,2013-08-06,2013,218
TB,secchi_min,2014-07-16,2014,197
TB,secchi_min,2015-05-21,2015,141
TB,secchi_min,2016-11-16,2016,321
TB,secchi_min,2017-04-19,2017,109
TB,secchi_min,2018-10-17,2018,290
TB,secchi_min,2019-08-12,2019,224
TR,secchi_min,1982-05-13,1982,133
TR,secchi_min,1983-11-17,1983,321
TR,secchi_min,1984-05-22,1984,143
TR,secchi_min,1985-11-15,1985,319
TR,secchi_min,1986-11-04,1986,308
TR,secchi_min,1987-11-17,1987,321
TR,secchi_min,1988-11-07,1988,312
TR,secchi_min,1989-11-13,1989,317
TR,secchi_min,1990-11-13,1990,317
TR,secchi_min,1991-05-08,1991,128
TR,secchi_min,1992-11-10,1992,315
TR,secchi_min,1993-05-17,1993,137
TR,secchi_min,1994-10-04,1994,277
TR,secchi_min,1995-11-02,1995,306
TR,secchi_min,1996-05-31,1996,152
TR,secchi_min,1997-11-11,1997,315
TR,secchi_min,1998-11-13,1998,317
TR,secchi_min,1999-11-08,1999,312
TR,secchi_min,2000-07-25,2000,207
TR,secchi_min,2001-11-01,2001,305
TR,secchi_min,2002-11-06,2002,310
TR,secchi_min,2003-11-21,2003,325
TR,secchi_min,2004-08-19,2004,232
TR,secchi_min,2005-11-14,2005,318
TR,secchi_min,2006-05-17,2006,137
TR,secchi_min,2007-05-23,2007,143
TR,secchi_min,2008-05-12,2008,133
TR,secchi_min,2009-04-30,2009,120
TR,secchi_min,2010-09-13,2010,256
TR,secchi_min,2011-06-02,2011,153
TR,secchi_min,2012-11-01,2012,306
TR,secchi_min,2013-11-14,2013,318
TR,secchi_min,2014-06-19,2014,170
TR,secchi_min,2015-04-24,2015,114
TR,secchi_min,2016-11-15,2016,320
TR,secchi_min,2017-05-04,2017,124
TR,secchi_min,2018-10-18,2018,291
TR,secchi_min,2019-05-23,2019,143
WI,secchi_min,1996-07-24,1996,206
WI,secchi_min,1997-06-11,1997,162
WI,secchi_min,1998-08-07,1998,219
WI,secchi_min,1999-08-17,1999,229
WI,secchi_min,2000-08-14,2000,227
WI,secchi_min,2001-05-23,2001,143
WI,secchi_min,2002-08-15,2002,227
WI,secchi_min,2003-09-04,2003,247
WI,secchi_min,2004-03-31,2004,91
WI,secchi_min,2005-04-11,2005,101
WI,secchi_min,2006-06-28,2006,179
WI,secchi_min,2007-06-26,2007,177
WI,secchi_min,2008-08-19,2008,232
WI,secchi_min,2009-07-07,2009,188
WI,secchi_min,2010-10-08,2010,281
WI,secchi_min,2011-08-10,2011,222
WI,secchi_min,2012-07-24,2012,206
WI,secchi_min,2013-07-22,2013,203
WI,secchi_min,2014-05-15,2014,135
