lakeid,metric,sampledate,year,daynum
SP,doc_epiMax,2017-07-10,2017,191
SP,totpuf_epiMax,2017-06-12,2017,163
SP,doc_epiMax,2018-07-11,2018,192
SP,totpuf_epiMax,2018-11-12,2018,316
TB,doc_epiMax,1985-08-21,1985,233
TB,doc_epiMax,1986-04-21,1986,111
TB,totpuf_epiMax,1986-04-21,1986,111
TB,doc_epiMax,1987-11-02,1987,306
TB,totpuf_epiMax,1987-05-18,1987,138
TB,doc_epiMax,1988-04-21,1988,112
TB,totpuf_epiMax,1988-04-21,1988,112
TB,doc_epiMax,1989-10-16,1989,289
TB,totpuf_epiMax,1989-05-29,1989,149
TB,doc_epiMax,1990-09-17,1990,260
TB,totpuf_epiMax,1990-11-08,1990,312
TB,doc_epiMax,1991-09-24,1991,267
TB,totpuf_epiMax,1991-07-29,1991,210
TB,doc_epiMax,1992-11-05,1992,310
TB,totpuf_epiMax,1992-05-04,1992,125
TB,doc_epiMax,1993-11-02,1993,306
TB,totpuf_epiMax,1993-09-22,1993,265
TB,doc_epiMax,1994-11-14,1994,318
TB,totpuf_epiMax,1994-05-03,1994,123
TB,doc_epiMax,1995-11-09,1995,313
TB,totpuf_epiMax,1995-11-09,1995,313
TB,doc_epiMax,1996-11-04,1996,309
TB,totpuf_epiMax,1996-05-10,1996,131
TB,doc_epiMax,1997-09-24,1997,267
TB,totpuf_epiMax,1997-09-24,1997,267
TB,doc_epiMax,1998-11-12,1998,316
TB,totpuf_epiMax,1998-10-06,1998,279
TB,doc_epiMax,1999-09-20,1999,263
TB,totpuf_epiMax,1999-05-06,1999,126
TB,doc_epiMax,2000-07-25,2000,207
TB,totpuf_epiMax,2000-05-03,2000,124
TB,doc_epiMax,2001-11-16,2001,320
TB,totpuf_epiMax,2001-06-25,2001,176
TB,doc_epiMax,2002-11-04,2002,308
TB,totpuf_epiMax,2002-11-04,2002,308
TB,doc_epiMax,2003-11-07,2003,311
TB,totpuf_epiMax,2003-09-19,2003,262
TB,doc_epiMax,2004-11-11,2004,316
TB,totpuf_epiMax,2004-04-26,2004,117
TB,doc_epiMax,2005-11-17,2005,321
TB,totpuf_epiMax,2005-10-05,2005,278
TB,doc_epiMax,2006-11-01,2006,305
TB,totpuf_epiMax,2006-04-18,2006,108
TB,doc_epiMax,2007-11-15,2007,319
TB,totpuf_epiMax,2007-11-15,2007,319
TB,doc_epiMax,2008-11-11,2008,316
TB,totpuf_epiMax,2008-06-30,2008,182
TB,doc_epiMax,2009-04-28,2009,118
TB,totpuf_epiMax,2009-04-28,2009,118
TB,doc_epiMax,2010-11-15,2010,319
TB,totpuf_epiMax,2010-04-13,2010,103
TB,doc_epiMax,2011-09-20,2011,263
TB,totpuf_epiMax,2011-11-11,2011,315
TB,doc_epiMax,2012-11-05,2012,310
TB,totpuf_epiMax,2012-09-19,2012,263
TB,doc_epiMax,2013-11-08,2013,312
TB,totpuf_epiMax,2013-07-10,2013,191
TB,doc_epiMax,2014-11-07,2014,311
TB,totpuf_epiMax,2014-06-16,2014,167
TB,doc_epiMax,2015-11-17,2015,321
TB,totpuf_epiMax,2015-10-05,2015,278
TB,doc_epiMax,2016-11-16,2016,321
TB,totpuf_epiMax,2016-07-19,2016,201
TB,doc_epiMax,2017-07-10,2017,191
