lakeid,metric,sampledate,year,daynum
AL,iceon,1989-11-22,1989,326
AL,iceon,1990-12-03,1990,337
AL,iceon,1991-11-08,1991,312
AL,iceon,1992-11-16,1992,321
AL,iceon,1993-11-29,1993,333
AL,iceon,1994-11-26,1994,330
AL,iceon,1995-11-09,1995,313
AL,iceon,1996-11-14,1996,319
AL,iceon,1997-11-17,1997,321
AL,iceon,1998-12-11,1998,345
AL,iceon,1999-12-01,1999,335
AL,iceon,2000-11-20,2000,325
AL,iceon,2001-12-11,2001,345
AL,iceon,2002-11-18,2002,322
AL,iceon,2003-11-28,2003,332
AL,iceon,2004-12-13,2004,348
AL,iceon,2005-11-25,2005,329
AL,iceon,2006-12-01,2006,335
AL,iceon,2007-11-23,2007,327
AL,iceon,2008-11-25,2008,330
AL,iceon,2009-12-07,2009,341
AL,iceon,2010-11-27,2010,331
AL,iceon,2011-11-30,2011,334
AL,iceon,2012-12-07,2012,342
AL,iceon,2013-11-19,2013,323
AL,iceon,2014-11-21,2014,325
AL,iceon,2015-11-30,2015,334
AL,iceon,2016-12-12,2016,347
AL,iceon,2017-11-20,2017,324
AL,iceon,2018-11-16,2018,320
AL,iceon,2019-11-22,2019,326
AL,iceon,2020-11-27,2020,332
BM,iceon,1981-12-15,1981,349
BM,iceon,1982-12-07,1982,341
BM,iceon,1983-12-03,1983,337
BM,iceon,1984-11-21,1984,326
BM,iceon,1985-11-25,1985,329
BM,iceon,1986-11-18,1986,322
BM,iceon,1987-12-03,1987,337
BM,iceon,1988-12-01,1988,336
BM,iceon,1989-11-22,1989,326
BM,iceon,1990-12-05,1990,339
BM,iceon,1991-11-27,1991,331
BM,iceon,1992-11-30,1992,335
BM,iceon,1993-12-01,1993,335
BM,iceon,1994-12-09,1994,343
BM,iceon,1995-11-13,1995,317
BM,iceon,1996-11-25,1996,330
BM,iceon,1997-11-24,1997,328
BM,iceon,1998-12-23,1998,357
BM,iceon,1999-12-17,1999,351
BM,iceon,2000-12-04,2000,339
BM,iceon,2001-12-26,2001,360
BM,iceon,2002-11-27,2002,331
BM,iceon,2003-12-03,2003,337
BM,iceon,2004-12-17,2004,352
BM,iceon,2005-12-03,2005,337
BM,iceon,2006-12-05,2006,339
BM,iceon,2007-12-03,2007,337
BM,iceon,2008-12-03,2008,338
BM,iceon,2009-12-07,2009,341
BM,iceon,2010-12-06,2010,340
BM,iceon,2011-12-05,2011,339
BM,iceon,2012-12-11,2012,346
BM,iceon,2013-11-27,2013,331
BM,iceon,2014-11-21,2014,325
BM,iceon,2015-12-28,2015,362
BM,iceon,2016-12-12,2016,347
BM,iceon,2017-12-11,2017,345
BM,iceon,2018-11-19,2018,323
BM,iceon,2019-12-02,2019,336
BM,iceon,2020-12-07,2020,342
CB,iceon,1981-11-23,1981,327
CB,iceon,1982-11-22,1982,326
CB,iceon,1983-11-14,1983,318
CB,iceon,1984-11-06,1984,311
CB,iceon,1985-11-11,1985,315
CB,iceon,1986-11-10,1986,314
CB,iceon,1987-11-23,1987,327
CB,iceon,1988-11-18,1988,323
CB,iceon,1989-11-13,1989,317
CB,iceon,1990-11-26,1990,330
CB,iceon,1991-11-04,1991,308
CB,iceon,1992-11-06,1992,311
CB,iceon,1993-11-08,1993,312
CB,iceon,1994-11-23,1994,327
CB,iceon,1995-11-07,1995,311
CB,iceon,1996-11-11,1996,316
CB,iceon,1997-11-11,1997,315
CB,iceon,1998-12-08,1998,342
CB,iceon,1999-11-27,1999,331
CB,iceon,2000-11-17,2000,322
CB,iceon,2001-12-07,2001,341
CB,iceon,2002-11-14,2002,318
CB,iceon,2003-11-06,2003,310
CB,iceon,2004-11-22,2004,327
CB,iceon,2005-11-17,2005,321
CB,iceon,2006-11-30,2006,334
CB,iceon,2007-11-16,2007,320
CB,iceon,2008-11-17,2008,322
CB,iceon,2009-12-01,2009,335
CB,iceon,2010-11-22,2010,326
CB,iceon,2011-11-18,2011,322
CB,iceon,2012-11-26,2012,331
CB,iceon,2013-11-19,2013,323
CB,iceon,2014-11-10,2014,314
CB,iceon,2015-11-23,2015,327
CB,iceon,2016-12-05,2016,340
CB,iceon,2017-11-07,2017,311
CB,iceon,2018-11-09,2018,313
CB,iceon,2019-11-06,2019,310
CB,iceon,2020-11-18,2020,323
CR,iceon,1981-12-11,1981,345
CR,iceon,1982-12-07,1982,341
CR,iceon,1983-12-03,1983,337
CR,iceon,1984-12-01,1984,336
CR,iceon,1985-11-25,1985,329
CR,iceon,1986-11-19,1986,323
CR,iceon,1987-12-03,1987,337
CR,iceon,1988-12-01,1988,336
CR,iceon,1989-11-22,1989,326
CR,iceon,1990-12-03,1990,337
CR,iceon,1991-11-27,1991,331
CR,iceon,1992-11-30,1992,335
CR,iceon,1993-12-01,1993,335
CR,iceon,1994-12-02,1994,336
CR,iceon,1995-11-24,1995,328
CR,iceon,1996-11-25,1996,330
