lakeid,metric,sampledate,year,daynum
CR,iceon,2008-12-02,2008,337
CR,iceon,2009-12-02,2009,336
CR,iceon,2010-12-11,2010,345
CR,iceon,2011-12-04,2011,338
CR,iceon,2012-12-04,2012,339
CR,iceon,2013-12-11,2013,345
CR,iceon,2014-11-27,2014,331
CR,iceon,2015-11-21,2015,325
CR,iceon,2016-12-27,2016,362
CR,iceon,2017-12-13,2017,347
CR,iceon,2018-12-11,2018,345
CR,iceon,2019-11-19,2019,323
SP,iceon,NA,1981,NA
SP,iceon,1982-12-11,1982,345
SP,iceon,1983-12-07,1983,341
SP,iceon,1984-12-02,1984,337
SP,iceon,1985-12-05,1985,339
SP,iceon,1986-11-25,1986,329
SP,iceon,1987-12-01,1987,335
SP,iceon,1988-12-02,1988,337
SP,iceon,1989-12-02,1989,336
SP,iceon,1990-11-27,1990,331
SP,iceon,1991-12-03,1991,337
SP,iceon,1992-11-28,1992,333
SP,iceon,1993-12-01,1993,335
SP,iceon,1994-11-30,1994,334
SP,iceon,1995-12-09,1995,343
SP,iceon,1996-11-23,1996,328
SP,iceon,1997-11-26,1997,330
SP,iceon,1998-12-22,1998,356
SP,iceon,1999-12-22,1999,356
SP,iceon,2000-12-16,2000,351
SP,iceon,2001-12-05,2001,339
SP,iceon,2002-12-26,2002,360
SP,iceon,2003-11-27,2003,331
SP,iceon,2004-12-02,2004,337
SP,iceon,2005-12-18,2005,352
SP,iceon,2006-12-03,2006,337
SP,iceon,2007-12-23,2007,357
SP,iceon,2008-12-02,2008,337
SP,iceon,2009-12-05,2009,339
SP,iceon,2010-12-11,2010,345
SP,iceon,2011-12-07,2011,341
SP,iceon,2012-12-05,2012,340
SP,iceon,2013-12-12,2013,346
SP,iceon,2014-11-27,2014,331
SP,iceon,2015-11-21,2015,325
SP,iceon,2016-12-27,2016,362
SP,iceon,2017-12-13,2017,347
SP,iceon,2018-12-11,2018,345
SP,iceon,2019-12-07,2019,341
TB,iceon,NA,1981,NA
TB,iceon,1982-11-24,1982,328
TB,iceon,1983-11-22,1983,326
TB,iceon,1984-11-13,1984,318
TB,iceon,1985-11-13,1985,317
TB,iceon,1986-11-14,1986,318
TB,iceon,1987-11-11,1987,315
TB,iceon,1988-11-22,1988,327
TB,iceon,1989-11-19,1989,323
TB,iceon,1990-11-14,1990,318
TB,iceon,1991-11-26,1991,330
TB,iceon,1992-11-03,1992,308
TB,iceon,1993-11-14,1993,318
TB,iceon,1994-11-08,1994,312
TB,iceon,1995-11-26,1995,330
TB,iceon,1996-11-08,1996,313
TB,iceon,1997-11-12,1997,316
TB,iceon,1998-11-13,1998,317
TB,iceon,1999-12-08,1999,342
TB,iceon,2000-11-26,2000,331
TB,iceon,2001-11-21,2001,325
TB,iceon,2002-12-07,2002,341
TB,iceon,2003-11-14,2003,318
TB,iceon,2004-11-09,2004,314
TB,iceon,2005-11-25,2005,329
TB,iceon,2006-11-22,2006,326
TB,iceon,2007-11-30,2007,334
TB,iceon,2008-11-15,2008,320
TB,iceon,2009-11-20,2009,324
TB,iceon,2010-12-01,2010,335
TB,iceon,2011-11-27,2011,331
TB,iceon,2012-11-17,2012,322
TB,iceon,2013-11-27,2013,331
TB,iceon,2014-11-19,2014,323
TB,iceon,2015-11-10,2015,314
TB,iceon,2016-11-22,2016,327
TB,iceon,2017-12-06,2017,340
TB,iceon,2018-11-10,2018,314
TB,iceon,2019-11-09,2019,313
TR,iceon,NA,1981,NA
TR,iceon,1982-12-20,1982,354
TR,iceon,1983-12-13,1983,347
TR,iceon,1984-12-02,1984,337
TR,iceon,1985-12-19,1985,353
TR,iceon,1986-12-04,1986,338
TR,iceon,1987-12-07,1987,341
TR,iceon,1988-12-21,1988,356
TR,iceon,1989-12-13,1989,347
TR,iceon,1990-12-01,1990,335
TR,iceon,1991-12-14,1991,348
TR,iceon,1992-12-01,1992,336
TR,iceon,1993-12-10,1993,344
TR,iceon,1994-11-30,1994,334
TR,iceon,1995-12-12,1995,346
TR,iceon,1996-11-28,1996,333
TR,iceon,1997-11-28,1997,332
TR,iceon,1998-12-22,1998,356
TR,iceon,1999-12-28,1999,362
TR,iceon,2000-12-19,2000,354
TR,iceon,2001-12-08,2001,342
TR,iceon,2002-12-31,2002,365
TR,iceon,2003-12-03,2003,337
TR,iceon,2004-12-02,2004,337
TR,iceon,2005-12-18,2005,352
TR,iceon,2006-12-08,2006,342
TR,iceon,2007-12-26,2007,360
TR,iceon,2008-12-09,2008,344
TR,iceon,2009-12-09,2009,343
TR,iceon,2010-12-17,2010,351
TR,iceon,2011-12-09,2011,343
TR,iceon,2013-01-02,2012,368
TR,iceon,2013-12-21,2013,355
TR,iceon,2014-12-08,2014,342
TR,iceon,2015-11-28,2015,332
TR,iceon,2017-01-03,2016,369
TR,iceon,2017-12-17,2017,351
TR,iceon,2018-12-14,2018,348
TR,iceon,2019-12-07,2019,341
ME,iceon,1979-12-29,1979,363
ME,iceon,1980-12-20,1980,355
ME,iceon,1981-12-28,1981,362
ME,iceon,1983-01-13,1982,378
ME,iceon,1983-12-19,1983,353
ME,iceon,1984-12-25,1984,360
ME,iceon,1985-12-14,1985,348
ME,iceon,1986-12-13,1986,347
ME,iceon,1988-01-02,1987,367
ME,iceon,1988-12-29,1988,364
ME,iceon,1989-12-12,1989,346
ME,iceon,1990-12-26,1990,360
ME,iceon,1991-12-18,1991,352
ME,iceon,1992-12-24,1992,359
ME,iceon,1993-12-27,1993,361
ME,iceon,1995-01-06,1994,371
ME,iceon,1995-12-10,1995,344
ME,iceon,1996-12-20,1996,355
ME,iceon,1998-01-11,1997,376
ME,iceon,1998-12-30,1998,364
ME,iceon,2000-01-14,1999,379
ME,iceon,2000-12-13,2000,348
ME,iceon,2002-01-02,2001,367
ME,iceon,2003-01-04,2002,369
ME,iceon,2004-01-07,2003,372
ME,iceon,2004-12-25,2004,360
ME,iceon,2005-12-19,2005,353
ME,iceon,2007-01-20,2006,385
ME,iceon,2007-12-26,2007,360
ME,iceon,2008-12-16,2008,351
ME,iceon,2009-12-29,2009,363
ME,iceon,2010-12-15,2010,349
ME,iceon,2012-01-14,2011,379
ME,iceon,2013-01-13,2012,379
ME,iceon,2013-12-16,2013,350
ME,iceon,2015-01-02,2014,367
ME,iceon,2016-01-11,2015,376
ME,iceon,2016-12-31,2016,366
ME,iceon,2017-12-27,2017,361
ME,iceon,2018-12-15,2018,349
MO,iceon,1979-12-17,1979,351
MO,iceon,1980-12-20,1980,355
MO,iceon,1981-12-20,1981,354
